Mathematics, Language, Science, History, English, Physical_Education, Art,mean_sciences,mean_humanities,Total_mean
5.4,7.1,4.9,5.9,7.2,8.5,8.2,5.15,6.50,6.74
5.2,5.5,4.8,6.7,6.7,7.4,7.4,5.00,6.10,6.24
6.1,6.9,4,8.2,5.4,7.5,6.9,5.05,7.55,6.43
6.3,5,5.4,7.8,6,7.4,6.4,5.85,6.40,6.33
5.3,6.2,4.7,6.8,6.6,8,7,5.00,6.50,6.37
5.2,6.6,6,6.5,5.9,8.6,5.5,5.60,6.55,6.33
5.9,7,5.6,6,6.1,5.9,4.8,5.75,6.50,5.90
6,6.8,4.9,5.9,5.6,6.6,6.6,5.45,6.35,6.06
4.6,5,5.5,6.4,5,8.8,7.6,5.05,5.70,6.13
5.9,7.3,5.9,6.4,4.9,8.1,8.8,5.90,6.85,6.76
5.5,6,5.4,6.7,6.2,7.9,6.5,5.45,6.35,6.31
4.3,6.1,5,5.7,5.7,7.3,6.3,4.65,5.90,5.77
5.5,5.7,6.8,5.1,7.2,8.3,7.7,6.15,5.40,6.61
5.6,6.7,6.5,7.3,6.5,7.2,5.9,6.05,7.00,6.53
6.7,5.4,4,6.5,6.8,7.7,6.2,5.35,5.95,6.19
6.6,7.3,4.8,6.3,5.3,7.3,5.6,5.70,6.80,6.17
5.7,6,6.6,5.1,6.4,6.9,6,6.15,5.55,6.10
6.7,5.4,6.1,8.4,5.5,7.3,6.9,6.40,6.90,6.61
5.5,5.6,5.5,6.9,6.4,6.7,7,5.50,6.25,6.23
5.5,6.5,5.5,8,6.7,8,6.5,5.50,7.25,6.67
4.7,6.4,5.7,5.8,6.9,9.7,6.6,5.20,6.10,6.54
6,5,5.6,5.2,6,6.5,5.9,5.80,5.10,5.74
4.9,5.9,5.8,6.9,6.7,9,6.5,5.35,6.40,6.53
4.9,5.8,5.5,6.5,4.6,7.6,8.8,5.20,6.15,6.24
5.7,5.6,4.9,5.8,6.9,8.5,6.3,5.30,5.70,6.24
6.2,7.3,6,5.5,5.2,8.1,8.1,6.10,6.40,6.63
5.4,6.4,5.6,4.6,5.7,6.9,5.3,5.50,5.50,5.70
6.5,5.4,5.8,5.6,5.9,8.7,7.5,6.15,5.50,6.49
5.8,6.3,4.9,7.7,4.9,7.3,7.3,5.35,7.00,6.31
6.9,6.1,4.9,7.6,7,7.5,6.7,5.90,6.85,6.67
5.6,5,5.1,6.2,6.4,8,5.6,5.35,5.60,5.99
5.3,5.2,5.1,6.4,5.8,7.4,8.1,5.20,5.80,6.19
4.9,6.1,5.3,7.4,5.5,6.2,6.8,5.10,6.75,6.03
4.9,4.7,5,6.2,6.4,7.9,7.1,4.95,5.45,6.03
5.4,7.3,6,7.4,6.4,7.6,8.1,5.70,7.35,6.89
4.9,6.4,5.9,7.5,5.3,6.7,5.8,5.40,6.95,6.07
6.5,6.6,5.2,8.3,7.1,6.4,6,5.85,7.45,6.59
5,6.8,5,6.7,4.4,6.5,8.5,5.00,6.75,6.13
5.8,5.8,5.3,6.5,5.9,7.5,8.3,5.55,6.15,6.44
6,6.8,5.4,7.3,5.6,7.1,7,5.70,7.05,6.46
6.5,6.5,6.2,6.6,6.1,8.2,8,6.35,6.55,6.87
5.5,5.6,5.1,6.2,5.2,6.4,5.5,5.30,5.90,5.64
4.8,5.9,6.2,4.8,5.7,8.5,7.5,5.50,5.35,6.20
5.8,7.1,5.5,5.6,5.6,6.3,7,5.65,6.35,6.13
6.8,7,5.9,4.7,4.7,7.5,5.7,6.35,5.85,6.04
5,6.4,4.7,6,6.1,7,7,4.85,6.20,6.03
5.4,6.3,6.2,7.5,5.6,7.8,6.8,5.80,6.90,6.51
5.4,5.8,4.9,7.1,4.7,7.2,6.6,5.15,6.45,5.96
6.6,6.2,6.3,5.9,5.7,5.3,7.4,6.45,6.05,6.20
5.2,5.9,6,6.8,4.8,6.3,7.5,5.60,6.35,6.07
4.8,7.5,6.2,6.3,5.5,7.1,6.4,5.50,6.90,6.26
5.7,6.1,5,5.9,6.5,6.7,7.1,5.35,6.00,6.14
5.4,6.4,6.1,5.2,5.7,7.6,6.2,5.75,5.80,6.09
5.4,6.4,4.5,7,5.8,8.3,7.3,4.95,6.70,6.39
5.5,5.4,5.8,7.5,5.4,7.6,8,5.65,6.45,6.46
5.5,6.4,5.3,8.3,6.4,7.6,7,5.40,7.35,6.64
6.1,6.2,4.7,7.2,5.6,8.1,7.7,5.40,6.70,6.51
6,6.6,6.1,5.9,5.7,8,7.8,6.05,6.25,6.59
4.1,6.9,4.8,5.8,4.9,6.3,8.2,4.45,6.35,5.86
5.6,7.6,6.6,6,7.2,6.8,7.7,6.10,6.80,6.79
5.7,5.7,4.9,8.7,6.8,8.8,8.4,5.30,7.20,7.00
6.3,5.9,5.8,6.5,5.9,5.8,7.2,6.05,6.20,6.20
5.7,4.6,6,7.4,5,7.7,6,5.85,6.00,6.06
6.2,7.2,5.8,5.8,5.1,7.1,6.6,6.00,6.50,6.26
5.2,5.8,5.6,6.8,6.5,8.1,7.4,5.40,6.30,6.49
5.3,6,5.7,6.9,5.8,9,6.6,5.50,6.45,6.47
5.7,5.6,5.7,6.6,4.5,8,5.3,5.70,6.10,5.91
6.1,6.6,4.6,6.7,5.2,9.7,7.3,5.35,6.65,6.60
5.7,6.2,6.5,7.7,5.9,7.8,7,6.10,6.95,6.69
6.6,5.9,5.2,6.7,5.7,7.7,6.8,5.90,6.30,6.37
5.6,7.1,5.1,6,5.1,7,8,5.35,6.55,6.27
4.9,5.4,5.4,4.8,6.1,7.3,8.2,5.15,5.10,6.01
7.1,7.2,5.8,6.2,6.4,7.9,5.2,6.45,6.70,6.54
5.6,6.3,5.3,6,5.3,6.7,6.4,5.45,6.15,5.94
5.4,4.6,5.7,6.7,7.3,6.4,6.4,5.55,5.65,6.07
7.2,6.6,5.6,4.3,5.4,8.2,5.7,6.40,5.45,6.14
5.8,6.5,5.4,4.9,6.2,6.9,6.6,5.60,5.70,6.04
5.5,5.8,6.5,4.9,7.6,6.4,5.6,6.00,5.35,6.04
5.4,7.3,5,6.5,5.8,6.1,6.9,5.20,6.90,6.14
5.9,6.3,5,6.3,6.1,6.1,5.7,5.45,6.30,5.91
5.9,3.8,5.2,8.4,5.4,5.9,6.4,5.55,6.10,5.86
7,5,6.6,7,6.3,8.1,6.7,6.80,6.00,6.67
5.9,6,6.1,7.6,6,6.4,7.5,6.00,6.80,6.50
5.7,5.4,4.7,7,4.6,8.4,6.5,5.20,6.20,6.04
5,6.5,6.6,6.2,6.7,6.9,7.7,5.80,6.35,6.51
6.3,6.2,4.2,7.2,6.3,8.3,6.6,5.25,6.70,6.44
5.8,5.7,4.8,5.7,5.3,7.5,7.3,5.30,5.70,6.01
6.1,5.5,5.8,6.9,5.4,7.7,6.8,5.95,6.20,6.31
5.4,6.3,6,7,5.4,7.6,5.7,5.70,6.65,6.20
5.6,5.7,5.9,6.6,7.1,7.1,6.9,5.75,6.15,6.41
4.1,6,5.5,6.8,6.6,9.3,6.9,4.80,6.40,6.46
6.3,5.5,5.8,6.3,5.4,6.1,5.9,6.05,5.90,5.90
5.5,6.8,5.9,7.1,5.4,9.2,6,5.70,6.95,6.56
5.4,5.9,6.9,6.5,7.4,8.3,6.5,6.15,6.20,6.70
6.2,6.3,6.6,5.8,5.9,8.4,7.4,6.40,6.05,6.66
5.4,6.6,5.9,6.1,5.5,8.8,5.4,5.65,6.35,6.24
4.6,6.1,6.8,6.6,6.1,6.6,7.2,5.70,6.35,6.29
5.4,6.6,5.9,5.6,6.3,6.3,7.5,5.65,6.10,6.23
5.5,7,5.6,5.7,5.9,7.5,7.2,5.55,6.35,6.34
6.3,5.9,5.9,6.1,6.8,6.9,8.5,6.10,6.00,6.63
4.9,6.8,4.7,7.4,7.1,6.1,5.7,4.80,7.10,6.10
6.4,6.5,5.2,7.4,4.6,8.4,7.2,5.80,6.95,6.53
5.9,4.4,4.6,5.1,5.3,6.2,6.8,5.25,4.75,5.47
6,5.5,6.3,5.7,6.5,8,6.5,6.15,5.60,6.36
4.8,6.5,5.5,6.2,6.5,5.9,6.5,5.15,6.35,5.99
5.3,5.8,6.4,6.4,5.6,6.9,6.5,5.85,6.10,6.13
5.4,4.8,5.9,6.8,5.6,8.7,7.6,5.65,5.80,6.40
5.3,6.9,6.8,6.4,6.6,9.2,8.2,6.05,6.65,7.06
4.4,7.3,5.5,3.8,5.2,7,9,4.95,5.55,6.03
5.2,5.6,5.4,7,5.4,5.5,6.9,5.30,6.30,5.86
6.9,5.6,5.6,5.7,4.9,5.6,8,6.25,5.65,6.04
5.7,5.4,6.9,5.7,6.6,8.2,7.9,6.30,5.55,6.63
5.2,5.8,4.6,6,5.6,7.1,7,4.90,5.90,5.90
5.1,6.3,5.7,6.6,5.7,6.1,6.9,5.40,6.45,6.06
5.7,6.3,5.7,7.2,6.5,8.2,7.8,5.70,6.75,6.77
6.5,5.8,5.6,6.3,6.7,7,7,6.05,6.05,6.41
5.5,5.5,5.1,6.1,6.2,8.3,8.4,5.30,5.80,6.44
6.9,5.3,5.4,6.7,5.3,8,5.2,6.15,6.00,6.11
6.2,5.8,5.9,7.4,6.4,6.2,6,6.05,6.60,6.27
6.3,7.2,5.7,7.3,6.3,8.6,7.2,6.00,7.25,6.94
5.1,6.3,4.1,6.6,6.2,7.4,7.2,4.60,6.45,6.13
6.4,5.1,5.7,7.3,6.1,7.2,6.6,6.05,6.20,6.34
6.8,7.6,5.4,6.4,7,6.9,5.8,6.10,7.00,6.56
5.4,6.4,4.6,6.3,4.7,8.7,5.8,5.00,6.35,5.99
6.5,6.5,6.2,5.4,7.1,9.5,7,6.35,5.95,6.89
6.2,6.9,5.1,6.4,5.3,6.9,5.9,5.65,6.65,6.10
5.1,6,5.3,6.9,5.7,4.6,5.8,5.20,6.45,5.63
6.3,6,5.2,7.6,6.9,7.2,6.4,5.75,6.80,6.51
5.6,6.1,5,5.4,5,10,7.1,5.30,5.75,6.31
3.7,5.8,5.9,7.4,5.7,6,6.6,4.80,6.60,5.87
4.8,6.4,6.3,5.6,6.2,7.1,7,5.55,6.00,6.20
5,5.2,5.7,7.7,6.3,9.1,9.1,5.35,6.45,6.87
5.9,7,6.3,7,6.8,7.3,7,6.10,7.00,6.76
4.9,4.8,6,6.3,5.3,7.7,6.8,5.45,5.55,5.97
6,6.4,5.2,6.6,4.4,7.4,7,5.60,6.50,6.14
5,4.4,4.9,5.6,7.1,5.8,7.2,4.95,5.00,5.71
6.3,5.9,5.5,6.6,5,7.6,7,5.90,6.25,6.27
6.2,6.8,5.3,6.7,5.8,7.4,6.2,5.75,6.75,6.34
6.9,7.5,5.8,8.4,6.5,5.7,6.8,6.35,7.95,6.80
5.5,5.9,5.5,6.8,6.3,7.7,7,5.50,6.35,6.39
5.3,7.5,6.3,5.8,6.1,6.7,6,5.80,6.65,6.24
7.1,5.7,4.3,7,5.4,7.6,6,5.70,6.35,6.16
6.1,6.5,5.7,4.6,4.5,8.7,6.7,5.90,5.55,6.11
4.7,6.8,5.2,5.9,6.4,6.9,6.9,4.95,6.35,6.11
5.7,6.4,5.8,5.7,5,7.5,8.1,5.75,6.05,6.31
5,6.2,5.1,5.9,6.4,7.1,7,5.05,6.05,6.10
6,5.1,5.4,5.9,4.8,7.8,7.3,5.70,5.50,6.04
5.9,5.8,5.1,7.2,5.1,7.2,5.8,5.50,6.50,6.01
6.2,6.5,6.2,4.9,5.9,8.4,7,6.20,5.70,6.44
4.6,6.1,5.2,6.1,5.5,8.1,7.5,4.90,6.10,6.16
5.8,5.2,4.7,6.8,5.7,7.3,8.6,5.25,6.00,6.30
4.8,5.4,4.6,6.8,7,6.7,8.7,4.70,6.10,6.29
5.9,5.5,6.3,7.4,5.7,7.6,7.3,6.10,6.45,6.53
4.8,6.5,5,6.4,5.3,6.5,6.1,4.90,6.45,5.80
5.7,6.1,5.3,6.9,5.7,7.8,7,5.50,6.50,6.36
5,5.8,5.3,6.6,5.3,6,7.6,5.15,6.20,5.94
5.4,6.7,6.1,6.2,6.6,7,8.1,5.75,6.45,6.59
5.1,6.4,6.3,6.4,5.9,8.4,6.9,5.70,6.40,6.49
5.2,6.5,6.1,7.3,6.4,7.7,6.7,5.65,6.90,6.56
6,6.3,5.8,5.5,5.4,8.6,9.7,5.90,5.90,6.76
6.5,6.3,5.4,6.8,7.1,7.1,5.6,5.95,6.55,6.40
5.3,5.8,4.9,6.6,5.5,6.6,7.3,5.10,6.20,6.00
5.8,7.6,6.2,5.6,5.5,8.5,6.9,6.00,6.60,6.59
6.2,6.6,6.2,6.5,6.3,5.5,6.5,6.20,6.55,6.26
5.7,4.8,5.5,6.2,6.4,8.3,6.7,5.60,5.50,6.23
6,5,5.1,7.4,5.8,7.5,6.4,5.55,6.20,6.17
6.5,6.1,6.1,4.5,6.3,8.1,6.3,6.30,5.30,6.27
5.4,5.5,5.4,6.5,5.8,7,7.3,5.40,6.00,6.13
5.5,6.3,5.8,7.6,6.6,7,6.4,5.65,6.95,6.46
6.3,5.4,5.6,7.4,4.4,9,7.1,5.95,6.40,6.46
6.8,6.4,5.5,6.7,5.7,7,7.3,6.15,6.55,6.49
6.5,5.8,5.3,5.7,6,7.6,7.1,5.90,5.75,6.29
4.8,5.6,6,6,4.9,8.1,7.4,5.40,5.80,6.11
5.3,5.5,6.2,7.5,5.7,7.4,7.4,5.75,6.50,6.43
5.9,6.1,4.3,5.8,5.2,7.2,6.1,5.10,5.95,5.80
5.8,5.8,4.9,5.3,6.5,7.8,7,5.35,5.55,6.16
6.5,5.7,4.1,7.6,5.1,7.4,7.5,5.30,6.65,6.27
6.8,5.2,5.9,6.6,6.5,7.4,7,6.35,5.90,6.49
6.3,6.7,5,7.2,6.3,7.9,6.5,5.65,6.95,6.56
5.8,6.3,5.3,6,5.8,6.6,6.6,5.55,6.15,6.06
5.1,6.9,6.2,6.9,6.4,9,6.8,5.65,6.90,6.76
6.4,6.6,5.8,5.9,6.5,7.8,7,6.10,6.25,6.57
4.6,5.5,4.7,6.7,5.5,7,7,4.65,6.10,5.86
5.4,5.5,5.9,6.9,5.6,8.9,7.9,5.65,6.20,6.59
5.5,6.3,5.4,6.2,5.5,8,8.3,5.45,6.25,6.46
6,5.6,5.4,6.6,4.8,5.8,6.7,5.70,6.10,5.84
6,6.2,5.4,7.1,5.3,6.8,7.1,5.70,6.65,6.27
6.1,6,5.5,6.3,6.7,5.7,6.3,5.80,6.15,6.09
5.1,6.1,5.9,6.1,5.8,7.6,8,5.50,6.10,6.37
5,6,5.6,5.6,6.3,8.1,8,5.30,5.80,6.37
6.2,6,5,6.2,5.7,6.5,5.9,5.60,6.10,5.93
4.6,5.5,5.9,7,5.8,8.8,6.7,5.25,6.25,6.33
5.4,5.9,6.2,7.4,4.9,7.6,7.5,5.80,6.65,6.41
5.1,6,5.9,6,6,7.6,7.3,5.50,6.00,6.27
6.4,5.7,4.8,8.2,4.7,6.5,8,5.60,6.95,6.33
6,7.2,6.2,6.8,5.9,6,6.5,6.10,7.00,6.37
4.3,6.7,5.4,6.7,5.5,6.6,6.5,4.85,6.70,5.96
5.3,5.3,7,6.9,5.5,7,6.6,6.15,6.10,6.23
5.8,5.6,5.7,6,5.2,5,6.4,5.75,5.80,5.67
6.8,6.5,5.8,6.8,6.9,7,6.6,6.30,6.65,6.63
5.3,6.5,6.6,7.4,6,7.5,7.2,5.95,6.95,6.64
5.2,7.2,6,5.3,5.1,6.6,6.8,5.60,6.25,6.03
6.3,6.2,5.8,5.8,6.3,6.4,6.8,6.05,6.00,6.23
6.1,5.8,5.3,7.3,4.6,7.1,4.4,5.70,6.55,5.80
4.7,6.2,4.9,6.5,6.3,8.1,7.1,4.80,6.35,6.26
5,6.2,5,7.7,6.5,8.5,6.1,5.00,6.95,6.43
6.3,5.7,5.2,7.1,6.3,7.3,6.9,5.75,6.40,6.40
6.3,5.7,6.3,6.7,6.8,7.5,6.5,6.30,6.20,6.54
5.3,6.5,5.3,7.1,5.8,8.2,7.1,5.30,6.80,6.47
6.3,5.9,6.1,6.7,5.7,6.4,6.1,6.20,6.30,6.17
5.1,6.1,5.7,6,6,7,7.2,5.40,6.05,6.16
6.3,7.2,5.5,6.3,5.5,8,7.5,5.90,6.75,6.61
6.1,6.9,5.1,5.7,5.8,7,7.6,5.60,6.30,6.31
5.5,6.3,5.4,7.4,5.4,7.5,6.3,5.45,6.85,6.26
4.8,6.1,4.9,6.5,5.2,7.5,8.3,4.85,6.30,6.19
4.6,7.1,5.5,6.1,5.8,6.5,8,5.05,6.60,6.23
5.7,6,4.9,7.3,5.6,7.8,5.5,5.30,6.65,6.11
6.2,5.5,5.2,7,4.7,8.8,7.3,5.70,6.25,6.39
4.8,6.2,4.4,6.3,5.3,8.7,6.1,4.60,6.25,5.97
5.7,7.2,5.2,6.8,5.2,6.9,6.2,5.45,7.00,6.17
5.2,6.2,5.4,6.3,5.7,8.1,5.6,5.30,6.25,6.07
4.9,5.7,5.1,5.5,6.6,8.5,7.3,5.00,5.60,6.23
4.7,5.3,6,6.8,5.3,7.5,6.9,5.35,6.05,6.07
5.2,6.7,4.9,6.9,5.7,8.2,6,5.05,6.80,6.23
6,5.1,5.6,6.1,7.1,8,8,5.80,5.60,6.56
6,7.2,5.5,6.5,6.6,7.1,6,5.75,6.85,6.41
5.2,4.7,6.3,6.5,6.3,6.9,7.2,5.75,5.60,6.16
5.8,6.6,5.6,5.8,5.9,7.6,6.9,5.70,6.20,6.31
5.7,6.3,6.8,8.2,4.6,7,6.8,6.25,7.25,6.49
6.2,6.7,6.1,5.3,5.5,7.6,6.3,6.15,6.00,6.24
5.6,6,5.8,7,5.6,8.6,6.5,5.70,6.50,6.44
5.4,7.3,6.5,8,6.7,7.4,6.1,5.95,7.65,6.77
5.7,6,5.6,6.6,6,6.4,4.9,5.65,6.30,5.89
5.4,6.4,5.5,5.6,5.6,9.2,7.2,5.45,6.00,6.41
7.4,4.9,6.2,7.2,5.7,7.4,6.9,6.80,6.05,6.53
6.2,5.2,5.3,6.5,6.2,6.1,6.1,5.75,5.85,5.94
6.1,6.3,5.8,6.9,4.4,9,6.8,5.95,6.60,6.47
6,5.6,5.7,5.3,4.9,5.6,6.1,5.85,5.45,5.60
5.4,6.3,5.1,7.9,6.2,8,8.4,5.25,7.10,6.76
4.3,7.3,5.6,6.2,6.5,7.2,6.5,4.95,6.75,6.23
5.8,5.4,5.3,7.6,6,7.7,8.1,5.55,6.50,6.56
5.8,4.8,6.6,7,5.1,7.1,8,6.20,5.90,6.34
5.3,5.6,6.3,6.4,6.5,8.9,6.4,5.80,6.00,6.49
5.8,5.8,5.3,7.3,6.2,6.9,7.1,5.55,6.55,6.34
6.8,5.6,5.1,6.1,6,9.4,7.3,5.95,5.85,6.61
5.3,5.4,5.6,5.8,5.9,7,6.7,5.45,5.60,5.96
5.9,5.1,5.3,6.5,5.1,7.9,7.3,5.60,5.80,6.16
5,5.6,6.1,7.2,6.9,7.2,7.3,5.55,6.40,6.47
6.6,6.4,4.8,5.5,6.4,7,6.1,5.70,5.95,6.11
5.6,6.9,6.1,6.1,6,7.9,7.1,5.85,6.50,6.53
5.4,6.2,5.8,5.4,6.2,7,5.8,5.60,5.80,5.97
5.9,5.3,5.7,6.7,6.4,7.2,8.4,5.80,6.00,6.51
6,6.1,5.1,7.3,6.6,7.8,7,5.55,6.70,6.56
4.7,5.2,6.1,6.9,5.7,6.7,7.8,5.40,6.05,6.16
5.8,6.1,4.5,6.2,6,7.1,7.2,5.15,6.15,6.13
6,5.1,5.1,6.9,5.2,7,5.3,5.55,6.00,5.80
6,6.2,6.3,5.9,5.8,6.2,6.6,6.15,6.05,6.14
5,7.2,4.2,6.4,6.8,7.9,7.5,4.60,6.80,6.43
6.8,7.2,5.1,4.8,5.2,5.5,8.2,5.95,6.00,6.11
5.9,5.1,5.2,5.6,5.7,5.4,7.6,5.55,5.35,5.79
6,7.2,4.7,6.5,5.7,7.2,6.5,5.35,6.85,6.26
5.7,5.1,6.6,6.5,5.5,6.7,7.4,6.15,5.80,6.21
